time,temperature,wind-speed,precipitation
0.0,17.03474998474121,0.6103277802467346,0.0
1.0,16.768083413441975,0.6403124332427979,0.0
2.0,16.426416556040444,0.6020797491073608,0.0
3.0,15.484749794006348,0.6403124332427979,0.0
4.0,15.534749984741211,0.7433034181594848,0.16666666666666666
5.0,15.534749984741211,0.7106335163116455,0.3333333333333333
6.0,16.40974998474121,0.7106335163116455,0.5
7.0,17.593083699544273,0.6519202589988708,0.33333333333333337
8.0,18.951416651407875,0.7211102843284607,0.16666666666666666
9.0,20.709750175476074,0.8276472687721252,0.0
10.0,22.41808350880941,0.8500000238418579,0.18333333333333335
11.0,24.00141684214274,0.9340770244598388,0.3666666666666667
12.0,25.759750366210938,1.1280514001846313,0.55
13.0,25.568084081014,1.3124405145645142,0.3666666666666667
14.0,23.801417032877602,1.0606601238250732,0.43333333333333335
15.0,24.5597505569458,0.8902246952056885,0.0
16.0,24.15974998474121,1.3435028791427612,0.05000000074505805
17.0,22.484750747680664,1.0307763814926145,0.30000001192092896
18.0,23.156500498453777,1.6666666666666667,0.0
19.0,22.362055672539608,1.8777778016196356,0.0
20.0,21.150944815741642,2.223884754710727,0.0
21.0,19.339833577473957,2.307318150997162,0.0
22.0,18.43983332316081,2.3399346272150674,0.0
23.0,17.789833386739094,2.299999992052714,0.0
